Year,Total > 25YO,None,High school,Associate degree,"Bachelor
degree ",Gender
1979,631,492,599,683,854,Women
1980,619,477,584,672,843,Women
1981,620,465,577,678,846,Women
1982,639,461,591,687,867,Women
1983,644,469,591,692,887,Women
1984,654,462,598,704,901,Women
1985,661,451,598,708,924,Women
1986,675,456,607,724,956,Women
1987,680,453,610,735,987,Women
1988,685,452,609,736,992,Women
1989,688,453,596,743,994,Women
1990,690,449,589,738,"1,000",Women
1991,697,450,591,737,"1,013",Women
1992,704,451,593,717,"1,046",Women
1993,712,451,595,724,"1,048",Women
1994,708,432,590,711,"1,066",Women
1995,703,430,585,701,"1,057",Women
1996,710,429,584,707,"1,051",Women
1997,723,430,592,718,"1,052",Women
1998,748,437,611,735,"1,091",Women
1999,752,439,613,738,"1,120",Women
2000,754,444,614,738,"1,105",Women
2001,772,450,630,740,"1,118",Women
2002,796,455,641,761,"1,133",Women
2003,799,450,648,766,"1,138",Women
2004,799,445,651,769,"1,147",Women
2005,789,439,635,756,"1,138",Women
2006,783,447,624,752,"1,130",Women
2007,784,448,621,739,"1,131",Women
2008,784,442,608,735,"1,117",Women
2009,806,448,636,739,"1,138",Women
2010,813,448,627,737,"1,139",Women
2011,803,442,620,721,"1,116",Women
2012,796,423,614,722,"1,096",Women
2013,799,432,619,710,"1,126",Women
2014,798,434,614,702,"1,114",Women
2015,807,443,621,704,"1,128",Women
2016,820,442,627,720,"1,152",Women
2017,830,458,625,717,"1,159",Women
2018,830,469,616,717,"1,145",Women
